,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Developer,Rating
3909,Alien: Isolation,XOne,2014,Shooter,Sega,510000,78,Creative Assembly,M
3965,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,500000,71,Zipper Interactive,T
3967,Theatrhythm: Final Fantasy,3DS,2012,Misc,Square Enix,500000,78,Indies Zero,E10+
4025,Sonic Lost World,3DS,2013,Platform,Sega,490000,59,Dimps Corporation,E10+
4033,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,490000,81,PopCap,E10+
4051,Pokemon Art Academy ,3DS,2014,Misc,Nintendo,490000,76,Headstrong Games,E
4069,Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,490000,81,Silicon Studio,T
4086,Skylanders: SuperChargers,WiiU,2015,Action,Activision,480000,87,Vicarious Visions,E10+
4095,Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,480000,80,PopCap,E10+
4096,Mario Golf: World Tour,3DS,2014,Sports,Nintendo,480000,78,Camelot Software Planning,E
4117,NHL 16,XOne,2015,Sports,Electronic Arts,480000,80,"EA Sports, EA Canada",E10+
4141,Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,470000,79,Harmonix Music Systems,T
4148,World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,470000,87,Blizzard Entertainment,T
4153,FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,470000,69,Electronic Arts,E
4198,EA Sports UFC,XOne,2014,Sports,Electronic Arts,470000,70,EA Sports,T
4206,Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,460000,81,"Nintendo, Headstrong Games",E
4209,One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,460000,74,Omega Force,T
4274,Just Dance 2014,XOne,2013,Misc,Ubisoft,450000,71,Ubisoft,E10+
4289,PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,450000,75,Bluepoint Games,T
4358,Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,450000,85,Konami,E
4364,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,450000,81,MachineGames,M
4368,Watch Dogs,PC,2014,Action,Ubisoft,450000,77,Ubisoft Montreal,M
4387,Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,440000,58,"Nintendo, Camelot Software Planning",E
4392,Skylanders: Trap Team,PS4,2014,Action,Activision,440000,78,Toys for Bob,E10+
4438,FIFA Soccer 13,PSV,2012,Action,Electronic Arts,440000,57,Electronic Arts,E
4481,Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,430000,80,Gearbox Software,M
4494,Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,430000,74,TT Games,E10+
4519,Hometown Story,3DS,2013,Role-Playing,Rising Star Games,430000,47,TOYBOX,E10+
4526,Max Payne 3,PC,2012,Shooter,Take-Two Interactive,430000,87,Rockstar Studios,M
4576,Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,420000,61,Armature Studio,T
4585,Trials Fusion,PS4,2014,Racing,Ubisoft,420000,79,RedLynx,E10+
4618,Story of Seasons,3DS,2014,Simulation,Nintendo,420000,76,Marvelous AQL,E10+
4636,Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,420000,75,"Nintendo, Intelligent Systems",E
4649,Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,420000,46,Spike Chunsoft,M
4653,Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,410000,46,"Nintendo, Nd Cube",E
4656,Just Dance 2014,PS4,2013,Misc,Ubisoft,410000,75,Ubisoft,E10+
4668,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,410000,76,EA Sports,T
4676,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,410000,69,Maximum Games,E
4686,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,410000,80,Traveller's Tales,E10+
4691,NHL 15,XOne,2014,Sports,Electronic Arts,410000,59,EA Sports,E10+
4693,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,410000,79,Massive Entertainment,M
4706,Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,410000,81,Treyarch,M
4736,Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,410000,78,Sledgehammer Games,M
4745,Resistance: Burning Skies,PSV,2012,Shooter,Sony Computer Entertainment,410000,60,Nihilistic,M
4770,Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,400000,72,Bandai Namco Games,T
4786,Life is Strange,PS4,2016,Adventure,Square Enix,400000,85,DONTNOD Entertainment,M
4793,The Wonderful 101,WiiU,2013,Action,Nintendo,400000,78,PlatinumGames,T
4809,FIFA 14,PC,2013,Sports,Electronic Arts,400000,87,EA Canada,E
4813,Ragnarok Odyssey,PSV,2012,Role-Playing,GungHo,400000,66,Game Arts,T
4821,FIFA Soccer 13,PC,2012,Action,Electronic Arts,400000,86,Electronic Arts,E
4866,LEGO The Lord of the Rings,3DS,2012,Action,Warner Bros. Interactive Entertainment,390000,61,TT Games,E10+
4883,Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games,390000,70,"Monolith Soft, Banpresto",T
4913,Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,390000,72,SuperMassive Games,M
4915,Sonic Lost World,WiiU,2013,Platform,Sega,390000,63,Sonic Team,E10+
4917,Skylanders SWAP Force,PS4,2013,Platform,Activision,390000,79,Vicarious Visions,E10+
4944,Just Dance 2015,PS4,2014,Misc,Ubisoft,390000,72,Ubisoft,E10+
4952,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,390000,75,Ganbarion,T
4988,Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,380000,78,Harmonix Music Systems,T
5000,Battlefield 1,PC,2016,Shooter,Electronic Arts,380000,88,EA DICE,M
5002,Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment,380000,78,Kojima Productions,M
5008,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,380000,84,Eidos Montreal,M
5058,Wii Sports Club,WiiU,2014,Sports,Nintendo,380000,68,Nintendo,E10+
5063,Skylanders Giants,WiiU,2012,Action,Activision,370000,80,Vicarious Visions,E10+
5085,Just Dance 4,WiiU,2012,Misc,Ubisoft,370000,66,Ubisoft Paris,E10+
5114,BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,370000,84,2K Games,M
5115,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,370000,83,Indies Zero,T
5120,Rocket League,PS4,2016,Sports,505 Games,370000,85,Psyonix,E
5131,DiRT Rally,PS4,2016,Racing,Codemasters,370000,85,Codemasters,E
5150,Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,370000,73,5TH Cell,E10+
5165,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,360000,81,Firaxis Games,E10+
5174,Star Fox: Zero,WiiU,2016,Shooter,Nintendo,360000,69,PlatinumGames,E10+
5188,Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,360000,70,"Bandai Namco Games, Artdink",T
5215,Just Dance 2016,PS4,2015,Misc,Ubisoft,360000,73,Ubisoft,E10+
5224,Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,360000,57,"RED Entertainment, Spike Chunsoft",E10+
5230,Watch Dogs 2,XOne,2016,Action,Ubisoft,360000,83,Ubisoft Montreal,M
5241,ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,360000,31,Ubisoft,E
5245,Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,350000,78,Vanillaware,T
5248,Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,350000,79,Studio Liverpool,E10+
5257,Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,350000,84,Monolith Productions,M
5285,Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,350000,48,Deep Silver Dambuster Studios,M
5286,Assassin's Creed III,WiiU,2012,Action,Ubisoft,350000,85,Ubisoft Quebec,M
5287,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,350000,66,Spike Chunsoft,T
5291,Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,350000,71,Omega Force,T
5295,Football Manager 2016,PC,2015,Simulation,Sega,350000,81,Sega,E
5317,LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,350000,71,TT Games,E10+
5320,Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,350000,69,EA DICE,T
5321,Sniper Elite 3,XOne,2014,Shooter,505 Games,350000,63,Rebellion,M
5338,TrackMania Turbo,PS4,2016,Action,Ubisoft,350000,81,Nadeo,E
5348,Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,340000,69,Treyarch,M
5379,Company of Heroes 2,PC,2013,Strategy,THQ,340000,80,Relic,M
5388,Rayman Legends,XOne,2014,Platform,Ubisoft,340000,91,Ubisoft Montpellier,E10+
5439,World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,330000,77,Square Enix,E10+
5444,NHL 17,PS4,2016,Sports,Electronic Arts,330000,78,"EA Canada, EA Vancouver",E10+
5470,LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,330000,62,TT Games,E10+
5502,Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,330000,61,Arc System Works,T
5519,Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,330000,55,Danger Close,M
5525,Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,330000,80,Spike Chunsoft,M
5564,Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,320000,80,Sega,E10+
5565,Just Dance 2016,XOne,2015,Misc,Ubisoft,320000,66,Ubisoft,E10+
5583,Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,320000,67,Dimps Corporation,T
5609,World of Warcraft: Legion,PC,2016,Role-Playing,Activision,320000,88,Blizzard Entertainment,T
5610,Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,320000,81,Sega,T
5630,Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software,320000,76,"Atlus, Dingo Inc.",T
5648,Murdered: Soul Suspect,PS4,2014,Action,Square Enix,320000,59,Airtight Games,M
5703,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,310000,74,Iron Galaxy Studios,T
5730,Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,310000,68,Human Head Studios,T
5735,Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega,310000,32,Big Red Button Entertainment,E10+
5746,Tropico 5,PS4,2015,Simulation,Kalypso Media,310000,76,Haemimont,T
5749,LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,310000,65,TT Games,E10+
5753,Skylanders: SuperChargers,PS4,2015,Action,Activision,310000,81,Vicarious Visions,E10+
5838,Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,300000,81,Big Huge Games,M
5840,Mario Party: Star Rush,3DS,2016,Misc,Nintendo,300000,68,"Nintendo, Nd Cube",E
5849,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,300000,81,CyberConnect2,T
5854,Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,300000,75,Rocksteady Studios,M
5887,Madden NFL 13,PSV,2012,Sports,Electronic Arts,300000,63,EA Tiburon,E
5903,Sword Art Online: Hollow Fragment,PSV,2014,Role-Playing,Namco Bandai Games,300000,67,Bandai Namco Games,T
5926,Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,300000,76,TT Games,E10+
5969,Modnation Racers: Road Trip,PSV,2012,Racing,Sony Computer Entertainment,290000,62,SCEA,E
5989,Deadpool,PS4,2015,Action,Activision,290000,60,High Moon Studios,M
5990,UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,290000,72,Konami,E
6023,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,290000,75,2K Australia,M
6029,FIFA Soccer 13,3DS,2012,Action,Electronic Arts,290000,68,Electronic Arts,E
6038,Sonic Boom: Shattered Crystal,3DS,2014,Action,Sega,290000,47,Sanzaru Games,E
6049,Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,290000,76,Kojima Productions,M
6057,Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,290000,80,Nippon Ichi Software,T
6082,Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,290000,86,Ubisoft,M
6098,FIFA 15,PC,2014,Sports,Electronic Arts,280000,82,EA Sports,E
6119,LEGO The Lord of the Rings,PSV,2012,Action,Warner Bros. Interactive Entertainment,280000,54,TT Games,E10+
6193,NES Remix,WiiU,2014,Action,Nintendo,280000,71,Indies Zero,E
6276,The Evil Within,PC,2014,Action,Bethesda Softworks,270000,68,Tango Gameworks,M
6308,Sing Party,WiiU,2012,Misc,Nintendo,270000,60,FreeStyleGames,E10+
6323,Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,270000,60,EA Tiburon,E
6326,LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,270000,69,TT Games,E10+
6351,Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,270000,68,Armature Studio,T
6378,Ultimate NES Remix,3DS,2014,Action,Unknown,270000,69,Indies Zero,E
6428,Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,260000,73,"Rocksteady Studios, Virtuos",T
6449,Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,260000,81,Media Molecule,E
6470,Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,260000,80,Atlus,T
6488,WWE 2K17,XOne,2016,Sports,Take-Two Interactive,260000,68,Yuke's,T
6493,Project CARS,XOne,2015,Racing,Slightly Mad Studios,260000,81,Slightly Mad Studios,E
6538,Battleborn,PS4,2016,Shooter,Take-Two Interactive,260000,68,Gearbox Software,T
6630,The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,250000,67,FuRyu,E10+
6639,PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,250000,59,Sony Interactive Entertainment,M
6657,Anno 2205,PC,2015,Strategy,Ubisoft,250000,72,Blue Byte,E10+
6683,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,250000,76,Ghost Games,E10+
6754,Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,250000,88,Firaxis Games,E10+
6757,Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,250000,63,"Bandai Namco Games, Artdink",T
6759,F1 2015,XOne,2015,Racing,Codemasters,250000,64,Codemasters,E
6764,Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,250000,75,Sanzaru Games,E10+
6769,Hitman: Absolution,PC,2012,Action,Square Enix,240000,79,"Io Interactive, Nixxes Software",M
6770,Stella Glow,3DS,2015,Role-Playing,Atlus,240000,79,"Image Epoch, Imageepoch",T
6773,Trials Fusion,XOne,2014,Racing,Ubisoft,240000,80,RedLynx,E10+
6778,Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,240000,57,"Tamsoft, D3Publisher",M
6780,Skylanders SWAP Force,3DS,2013,Platform,Activision,240000,68,n-Space,E10+
6788,Skylanders: SuperChargers,XOne,2015,Action,Activision,240000,76,Vicarious Visions,E10+
6789,Ys: Memories of Celceta,PSV,2012,Action,Nihon Falcom Corporation,240000,82,Falcom,T
6796,Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,240000,76,Omega Force,T
6829,Total War: Attila,PC,2015,Strategy,Sega,240000,80,Creative Assembly,T
6855,NHL 17,XOne,2016,Sports,Electronic Arts,240000,77,"EA Canada, EA Vancouver",E10+
6878,Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,240000,77,Spike Chunsoft,E10+
6879,Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,240000,73,Zoe Mode,E
6892,Rocket League,XOne,2016,Sports,505 Games,240000,87,Psyonix,E
6912,NBA Live 14,PS4,2013,Sports,Electronic Arts,240000,43,EA Sports,E
6917,LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,240000,69,TT Games,E10+
6956,NBA Live 15,PS4,2014,Sports,Electronic Arts,230000,59,EA Sports,E
6974,Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega,230000,81,Sega,T
6975,The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software,230000,77,Falcom,T
6996,XCOM 2,PC,2016,Strategy,Take-Two Interactive,230000,88,Firaxis Games,T
7032,Epic Mickey 2: The Power of Two,WiiU,2012,Action,Disney Interactive Studios,230000,57,Junction Point,E
7039,Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,230000,79,Ubisoft Montreal,M
7067,Madden NFL 13,WiiU,2012,Sports,Electronic Arts,230000,75,EA Tiburon,E
7072,Transformers: Devastation,PS4,2015,Action,Activision,230000,77,PlatinumGames,T
7085,Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,230000,82,"Omega Force, Koei Tecmo Games",T
7096,Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,230000,83,Q Entertainment,E
7105,Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,230000,76,Yager,M
7156,Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,220000,69,Piranha Bytes,M
7165,Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,220000,82,SCE Japan Studio,M
7172,Ride,PS4,2015,Racing,Milestone S.r.l.,220000,66,Milestone S.r.l,E
7174,Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,220000,54,Tecmo Koei Games,T
7206,The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,220000,72,Maxis,T
7234,Dishonored 2,XOne,2016,Action,Bethesda Softworks,220000,88,Arkane Studios,M
7246,Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,220000,71,"City Interactive, Deck 13",M
7247,LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,220000,80,TT Games,E10+
7255,Senran Kagura 2: Deep Crimson ,3DS,2014,Action,Marvelous Entertainment,220000,58,Tamsoft,M
7297,Angry Birds Star Wars,PS4,2013,Strategy,Activision,210000,47,Exient Entertainment,E
7338,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,210000,69,Intelligent Systems,T
7372,Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,210000,68,Ganbarion,T
7384,Assassin's Creed Syndicate,PC,2015,Action,Ubisoft,210000,74,Ubisoft Quebec,M
7402,World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,210000,77,Square Enix,E10+
7403,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,210000,72,Spike Chunsoft,M
7408,The Wolf Among Us,PS4,2014,Adventure,Telltale Games,210000,83,Telltale Games,M
7416,Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,210000,69,n-Space,T
7435,NBA Live 15,XOne,2014,Sports,Electronic Arts,210000,53,EA Sports,E
7447,J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,210000,74,Bandai Namco Games,T
7458,Mega Man Legacy Collection,3DS,2016,Platform,Capcom,210000,77,Digital Eclipse,E
7467,Defiance,PC,2013,Shooter,Trion Worlds,210000,64,Trion Worlds,M
7480,Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,210000,32,Robomodo,T
7506,Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,200000,72,Ubisoft Montreal,M
7508,God of War Collection,PSV,2014,Action,Sony Computer Entertainment,200000,73,"Sanzaru Games, Sanzaru Games, Inc.",M
7536,Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,200000,51,Behaviour Interactive,E
7565,Code of Princess,3DS,2012,Action,Agatsuma Entertainment,200000,67,Studio Saizensen,T
7576,FIFA 16,PC,2015,Sports,Electronic Arts,200000,81,EA Sports,E
7580,NBA Live 14,XOne,2013,Sports,Electronic Arts,200000,36,EA Sports,E
7584,Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,200000,73,Dimps Corporation,T
7586,Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,200000,87,Vanillaware,T
7618,Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,200000,64,Arika,T
7640,Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,200000,75,Techland,M
7663,Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,200000,49,Ubisoft,T
7674,Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,200000,58,WayForward,M
7756,Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,190000,53,Spiders,M
7772,LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,190000,60,TT Games,E10+
7779,Mafia III,PC,2016,Action,Take-Two Interactive,190000,63,Hangar 13,M
7791,Fighter Within,XOne,2013,Fighting,Ubisoft,190000,23,Ubisoft,T
7811,Guitar Hero Live,WiiU,2015,Misc,Activision,190000,84,"Activision, FreeStyleGames",T
7820,Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,190000,63,Omega Force,T
7839,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,190000,85,Obsidian Entertainment,M
7843,MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,190000,76,SCEA San Diego Studios,E
7860,Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,190000,82,NetherRealm Studios,T
7874,Metro: Last Light,PC,2013,Action,Deep Silver,190000,82,4A Games,M
7875,Evolve,PC,2015,Shooter,Take-Two Interactive,190000,77,Turtle Rock Studios,M
7877,Resident Evil: Revelations,WiiU,2013,Action,Capcom,190000,80,Capcom,M
7896,Street Fighter X Tekken,PSV,2012,Fighting,Capcom,190000,79,Capcom,T
7898,The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,190000,80,Falcom,T
7916,Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,190000,82,Ubisoft Toronto,M
7956,Saints Row IV,PC,2013,Action,Deep Silver,190000,86,Volition Inc.,M
7959,Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,190000,74,Harmonix Music Systems,T
7967,Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,190000,69,Bandai Namco Games,T
8013,Shape Up,XOne,2014,Misc,Ubisoft,180000,58,Ubisoft Montreal,E
8058,Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,180000,59,Dimps Corporation,T
8060,LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,180000,64,Traveller's Tales,E10+
8063,Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,180000,60,5pb,M
8070,MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,180000,73,Milestone S.r.l,E
8084,Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,180000,48,K2,M
8092,Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,180000,71,Marvelous Inc.,M
8120,Aliens: Colonial Marines,PC,2013,Shooter,Sega,180000,45,Gearbox Software,M
8144,Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,180000,67,Marvelous Inc.,M
8199,NBA Live 16,PS4,2015,Sports,Electronic Arts,180000,59,EA Sports,E
8202,Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,170000,91,From Software,T
8207,Project Spark,XOne,2014,Misc,Microsoft Game Studios,170000,73,Microsoft Game Studios,E10+
8250,Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,170000,74,Koei Tecmo Games,T
8252,The Secret World,PC,2012,Role-Playing,Funcom,170000,74,Funcom,M
8286,Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,170000,71,Ubisoft Paris,M
8309,Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,170000,81,Spike Chunsoft,M
8339,Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,170000,62,Spike,M
8340,Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,170000,83,Eidos Montreal,M
8368,Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,170000,58,Omega Force,T
8370,LEGO Marvel Super Heroes,PC,2013,Action,Warner Bros. Interactive Entertainment,170000,78,TT Games,E10+
8389,Demon Gaze,PSV,2013,Role-Playing,Nippon Ichi Software,170000,70,Experience Inc.,T
8422,Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,170000,57,Bandai Namco Games,E10+
8447,One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,170000,76,Omega Force,T
8454,7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,170000,77,Sega,T
8464,Far Cry: Primal,PC,2016,Action,Ubisoft,160000,74,Ubisoft Montreal,M
8492,Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,160000,72,EA DICE,T
8519,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,160000,72,Marvelous Inc.,E10+
8538,Murdered: Soul Suspect,XOne,2014,Action,Square Enix,160000,51,Airtight Games,M
8590,The Crew,PC,2014,Racing,Ubisoft,160000,71,"Ubisoft Reflections, Ivory Tower",T
8602,The Sims 3: Seasons,PC,2012,Simulation,Electronic Arts,160000,73,The Sims Studio,T
8608,Angry Birds Star Wars,XOne,2013,Strategy,Activision,160000,53,Exient Entertainment,E
8627,BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,160000,84,2K Games,M
8637,Putty Squad,PS4,2013,Platform,System 3,160000,38,System 3,E10+
8658,Wildstar,PC,2014,Role-Playing,NCSoft,160000,82,Carbine Studios,T
8728,Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,150000,77,Harmonix Music Systems,E10+
8748,Naruto: Powerful Shippuden,3DS,2012,Platform,Namco Bandai Games,150000,71,Inti Creates,E10+
8764,Darksiders II,PC,2012,Action,Nordic Games,150000,81,Vigil Games,M
8770,Darksiders II,WiiU,2012,Action,THQ,150000,85,Vigil Games,M
8836,Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,150000,78,Alfa System,T
8884,Battleborn,XOne,2016,Shooter,Take-Two Interactive,150000,71,Gearbox Software,T
8887,The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,150000,79,SNK Playmore,T
8889,Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,150000,60,Bandai Namco Games,T
8900,LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,150000,73,Warner Bros. Interactive Entertainment,E10+
8944,Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,150000,74,TT Games,E10+
8969,Rayman Origins,3DS,2012,Platform,Ubisoft,150000,71,UBlart Montpellier,E10+
8980,ReCore,XOne,2016,Action,Microsoft Game Studios,150000,63,"Armature Studio, comcept",T
